"id","createdAt","updatedAt","title","tldr","description","creatorId","communityId","tokenSupplyOnCreate","deleted","createdAtBlock","legacyLockedScore"
634,"2023-12-29 19:38:20.744","2023-12-29 19:38:20.744","Fix Flaw That Increases Lil Nounder & Nouns Reward","Token design allocated 10% to Lil Nounders and Nouns. Lack of consideration for burnt tokens can result in sending more tokens to them, needs fixing to avoid defects in DAO.","The initial design assumed that ten percent of minted tokens would be allocated to the Lil Nounders and ten percent to Nouns. 
However, because burnt tokens are not considered in this design, this design can be gamed, and the amount of tokens allocated to Lil Nounders and Nouns is more than this amount, which, in my opinion, should be fixed. Otherwise, by settling the auction, anyone can burn tokens and send additional tokens to Nouns and Lil Nounders, a problem and defect in the DAO structure.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7182,FALSE,18893354,0
633,"2023-12-29 19:38:14.103","2023-12-29 19:39:16.125","Fix Flaw That Increases Lil Nounder & Nouns Reward","Token design allocated 10% to Lil Nounders and Nouns. Lack of consideration for burnt tokens can result in sending more tokens to them, needs fixing to avoid defects in DAO.","The initial design assumed that ten percent of minted tokens would be allocated to the Lil Nounders and ten percent to Nouns. 
However, because burnt tokens are not considered in this design, this design can be gamed, and the amount of tokens allocated to Lil Nounders and Nouns is more than this amount, which, in my opinion, should be fixed. Otherwise, by settling the auction, anyone can burn tokens and send additional tokens to Nouns and Lil Nounders, a problem and defect in the DAO structure.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7182,TRUE,18893353,0
632,"2023-12-27 16:36:59.228","2023-12-27 16:36:59.228","Stream Payment Normalization in Lil Nouns DAO","Standardize stream payments using smart contracts and implement recurring updates on a Layer 2 (L2) solution for improved transparency and operational efficiency.
","Stream payments offer a steady, predictable flow of funds, crucial for DAO sustainability. Unlike instant payments, they ensure continuous resource availability, aiding in better financial planning and stability. This approach fosters trust, encourages long-term engagement, and supports gradual, sustained growth of DAO projects.

---

## Objective
Implement standard stream payments and L2-based recurring updates for enhanced transparency and efficiency.

## Plan
1. **Stream Payments:** Adopt a smart contract for uniform payment distribution, ensuring fairness and reducing overhead.
2. **L2 Recurring Updates:** Regular updates on an L2 solution for efficient, transparent progress and financial reporting.

## Implementation
- Develop and test L2-compatible smart contracts.
- Pilot with select proposals.
- Full-scale deployment after successful testing.

## Benefits
- Consistent payment process.
- Enhanced transparency with L2 efficiency.
- Improved proposal management and trust.
","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7180,FALSE,18878224,0
631,"2023-12-13 12:08:25.558","2023-12-13 12:08:25.558","Meeting runners stipend. ","Meetings need agenda notes and minutes. 

It is only fair to compensate for productive time. ","Meetings run MUCH smoother when there is a lead and make a lot more sense if they can be looked back to as guidance. 

Agendas and minutes create this path. Meeting by meeting. 

Suggestion of a team. 

Compensation of .1 each per month 

Duties:
Agenda 
Recording in correct place (Craig bot)
Minutes 

Tuesday meeting. And possibly the dev meeting. If and when that starts. 

Happy Hour is unpaid and attended as a !vibe. Any minutes agenda. Etc done as a natural gift. 

","0x2eE0485f71764bcD2062A84d9455688c581B90f8",3,7180,FALSE,18777152,0
630,"2023-12-13 12:08:24.362","2023-12-15 12:56:27.32","Meeting runners stipend. ","Meetings need agenda notes and minutes. 

It is only fair to compensate for productive time. ","Meetings run MUCH smoother when there is a lead and make a lot more sense if they can be looked back to as guidance. 

Agendas and minutes create this path. Meeting by meeting. 

Suggestion of a team. 

Compensation of .1 each per month 

Duties:
Agenda 
Recording in correct place (Craig bot)
Minutes 

Tuesday meeting. And possibly the dev meeting. If and when that starts. 

Happy Hour is unpaid and attended as a !vibe. Any minutes agenda. Etc done as a natural gift. 

","0x2eE0485f71764bcD2062A84d9455688c581B90f8",3,7180,TRUE,18777151,0
629,"2023-12-13 12:01:43.714","2023-12-13 12:01:43.714","Create a stipend for admin / social media","As per the meeting yesterday.

- Relates to lilnouners account management on twtr. 
- Calendar and event updating -> goal toward community automation. 
- Bot management and updating 
","I was handling this for a bit to various extents. 

Currently it is mostly hands off with random check ins. Which works… and doesn’t work. 

As per my suggestion. Placing this in the hands of someone with time and dedication would be ideal. 

A suggested compensation of .5 per month for the tasks above. (With a lil more guidelines and structure) seems to be an agreeable amount IMO. Goldilocks. 

Reengaging typefully is also suggested. Yearly cost looks to be around ~400 for teams. 

Please let the dao know your thoughts. ","0x2eE0485f71764bcD2062A84d9455688c581B90f8",3,7180,FALSE,18777118,0
628,"2023-12-05 11:33:32.35","2023-12-05 11:33:32.35","Weekly Tech/Dev Calls at Lil Nouns DAO","Proposing weekly Tech/Dev Calls at Lil Nouns DAO, with me as the organizer. These online meetings aim to improve tech project management and member collaboration.","**Objective:** Launch weekly Tech/Dev Calls, with me as the organizer, to enhance tech project management and collaboration.

**Structure:** 1-hour weekly online meetings on Discord, covering updates, discussion, and Q&A.

**Role:** As organizer, I'll manage agendas, lead discussions, and ensure topic variety.

**Recording:** Using a Discord bot for accessibility.

**Compensation:** Proposing a fair payment structure for role(s).

**Outcomes:** Improved management of tech projects, better issue resolution, informed tech decisions, and increased member engagement.

**Next Steps:** Set compensation, get DAO feedback, and prepare the on-chain proposal.

**Commitment:** I aim to make these calls crucial for our tech progress and member collaboration.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7176,FALSE,18719871,0
627,"2023-12-05 05:41:22.584","2023-12-05 05:41:22.584","Website for ""The Lil Nouns Show"" Content","Propose creating a custom-made, open-source website for reuse, ""The Lil Nouns Show"" content to enhance the online presence and audience engagement.
","## Objectives
- Archive, organize, and display episodes, transcripts, and highlights.
- Ensure an intuitive, user-friendly design with full accessibility.

## Technical Strategy
- Develop an open-source website with a permissive license.

## Marketing and Analytics
- Implement SEO strategies to maximize online visibility.
- Use analytics tools to monitor site performance and user engagement.

## Budget and Timeline
- If there is an appetite in DAO for such an enhancement I'll outline clear development stages with specific timelines for design, development, testing, and launch and I'll provid detailed budget estimates.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7176,FALSE,18718125,0
626,"2023-12-03 14:02:50.614","2023-12-03 14:02:50.614","Nouns Berries","Proliferating the Meme by Making Food a Public Good
4 WYLIN 💎","https://www.youtube.com/watch?v=k9jw-NkUQ8Y

Proposal Text: https://hackmd.io/@imwylin/Skp7JBp4p","0x2eE0485f71764bcD2062A84d9455688c581B90f8",3,7176,FALSE,18706331,0
625,"2023-12-02 12:23:49.569","2023-12-02 12:23:49.569","Shut down League of Lils and delegate Noun","As of now, there are 2 active voters in League of Lils. This is a burden that's exacerbated by either myself or Dot not being available. I suggest we delegate the remaining Noun on a monthly basis, to community members voted on by the DAO. ","League of Lils is a (discord) role created to manage the voting on Nouns Proposals using our Noun. 

Members of League of Lils are on a SAFE MS (https://app.safe.global/settings/setup?safe=eth:0xDCb4117e3A00632efCaC3C169E0B23959f555E5e) and cast votes at the conclusion of each Nouns Snapshot vote in Lil Nouns DAO.

There are currently 7 addresses on the MS but only 2 are currently active. Myself and Lil Dot.

In recent weeks it has become apparent that this is unsustainable due to work, travel and the like and as such, I propose that our sole Noun is delegated on a monthly basis to a Lil Nouns holder.

The vote to delegate could take place using snapshot or equivalent, as to not incur gas fees.

Benefits tot his include:

- Less reliance on 2 signers to cast all the votes
- Reward Lil Nouns with Nouns governance for a month 
- Potentially attract new builders who like the idea of being able to govern with a Noun for a period of time 

Happy to chat and explore this further in discord. 

Cardno
","0xDb5Dd352527539b7C3382Bd4B5693E116D09fb9B",3,7176,FALSE,18698697,0
624,"2023-11-30 23:14:51.699","2023-11-30 23:14:51.699","Nouns Berries","Proliferating the Meme by Making Food a Public Good","https://www.youtube.com/watch?v=k9jw-NkUQ8Y

Proposal Text: https://hackmd.io/@imwylin/Skp7JBp4p","0xc6a39E2f9A7626612292AD56e76d738DB43596E4",3,7176,FALSE,18687625,0
623,"2023-11-27 22:19:48.754","2023-11-27 22:19:48.754","CLOSE NFTX -> Back to Treasury","Close the NFTX pool and release the Lil Nouns and the ETH back to the treasury ","What happens after is still to be decided.

Options include :
1) stake
2) Prop House Wallet (everyone's doing it!)
3) Lil Nouncil delegation
4) WILDEST IMAGINATIONS!! 

**DISCUSS**","0x2eE0485f71764bcD2062A84d9455688c581B90f8",3,7176,FALSE,18665910,0
622,"2023-11-27 17:15:10.936","2023-11-27 17:15:10.936","Lower reserve to .096","Tldr. The price is too damn hi. ","Priced above book. But below price new buyers unwilling to pay. ","0x2eE0485f71764bcD2062A84d9455688c581B90f8",3,7176,FALSE,18664402,0
621,"2023-11-25 20:25:42.242","2023-11-25 20:25:42.242","Lil Nouns Top Voters Participate","If you are a participant in Lil Nouns DAO governance with more than sixty-nine percent participation in November, you can participate in casting eight votes through a Snapshot for on-chain props from early December.","I am testing to see if it works for on-chain proposals. You can check your participation level on [Lil Nouns Top Voters](https://lilnouns.top/en).","0x63aa1670aBAF10b93a8fD9804eA304641Ec8aCE8",3,7176,FALSE,18651077,0
620,"2023-11-25 07:25:53.27","2023-11-25 07:25:53.27","Refund Nouns VWR Gas for Lil Nouners Onchain","Lil Nouns token holders should receive gas refunds for zero votes. This will encourage more participation and investment in the ecosystem.","## Objective
The main objective of this proposal is to assess the extent of worries and address potential remedies for Lil Nouners to enable their participation in Nouns governance through Nouns VWR. 

The proposal aims to delve deeper into their challenges and concerns and develop viable independent solutions to ensure active involvement through the Nouns VWR. 

## Rationale
It can be frustrating for subDAO token holders not to receive gas refunds for zero votes, especially after investing hard-earned money.

It is perplexing that while Nouns are willing to spend significant amounts on memes, subDAOs are not part of that trend. 

However, it is worth considering introducing a system where Lil Nouns holders receive refunds for the gas they spent on zero votes if we believe zero votes are valuable contributions to the ecosystem.

By doing so, we can incentivize more people to join Lil Nouns and participate without worrying about the cost of gas, ultimately leading to a more vibrant and diverse community.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7176,FALSE,18647209,0
619,"2023-11-16 10:33:11.898","2023-11-16 10:33:11.898","Ask Lil Nounders To Split Their Votes","This is a practice done by Nounders, and I think it's a good practice for Lil Nounders to follow that and split tokens between themselves and act individually.","Even though I voted yes for _[this prop](https://lilnouns.wtf/vote/nounsdao/438)_, it's unclear to me personally why I should consider the level of contribution of Dot and Adel the same. Still, again, it's due to the lack of enough public and accessible information about contribution status.

Others may disagree, but I want to see Lil Nounders act individually here if they want to vote or not vote on the proposal. 

Also, I don't see any reason we need Lil Nounder's votes on any proposal to be passed if we implement DQ. Even though I've tried multiple times, I have yet to get a clear answer on-chain.

If they chose to vote on some proposals rather than others due to the lack of enough votes to pass because they don't do that based on overall votes, they better implement DQ, which is a better option. Otherwise, they should split their votes and vote individually.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7174,FALSE,18583873,0
618,"2023-11-14 21:25:05.238","2023-11-14 21:25:05.238","Salman needs a job sponsorship. ","Add Salman to the stable of IRL sponsorships. ","He has been working here there and everywhere I’m web3 (as far as I can tell!) 

Provides engaging thoughtful content. 

Let’s give him the support we can. 

My thinking is along the lines of very passive .5 over 4 months. See where he takes it and reevaluate. 

Comment before downvote please😅","0x2eE0485f71764bcD2062A84d9455688c581B90f8",3,7174,FALSE,18572809,0
617,"2023-11-14 21:20:17.178","2023-11-14 21:20:17.178","Limit self voting in Prop House. ","Post a maximum amount of self votes one can give themselves. ","I am uncertain this will work as we would like in practicality. But I am all for continuing the conversation. 

Working on some numbers, I could see up to 8. (Probably more) being an acceptable amount. 

I am also not against just letting it rip as is. 

I will update in comments as I pull info I think might be pertinent. ","0x2eE0485f71764bcD2062A84d9455688c581B90f8",3,7174,FALSE,18572785,0
616,"2023-11-14 21:17:23.429","2023-11-14 21:17:23.429","Put forth another Prop House 6x5 (30 eth)","Another Prop House that will be voted on by Nouns Token Holders. As before. 

THIS IS NOT FINAL FORM. ","The idea behind this is the garden is great. But some of its flaws are some prolific prop house participants are now on the outside. 

Running another, Concurrent round; 
5 winners. 1 eth a piece. Every other week. 

3 month run. 

30eth total. 

Lil Nouncil will be the show runners? 

THIS IS NOT FINAL FORM. ","0x2eE0485f71764bcD2062A84d9455688c581B90f8",3,7174,FALSE,18572770,0
615,"2023-11-12 21:59:29.563","2023-11-12 21:59:29.563","Increase fork time period to 10.5 days. ","A candidate prop from Wag looking for sponsorship. It benefits subdaos and I think we should sponsor. 

There may be another from Jarmen. Have not seen. ","Description Looking for a sponsor-

Even if Subdaos/fractional owners manage to add governance logic bypassing risk of 51% attack associated w forking, 3.5 days is often not enough time for proposal cadences to complete.

10.5 days generously accommodates a 10-day turnaround with a little time to get a proposal together (helpful in instances when fork calls are able to bypass escrow phase)

Proposed Transactions 0x6f3e6272a167e8accb32072d08e0957f9c79223d._setForkPeriod(  907200 )","0x2eE0485f71764bcD2062A84d9455688c581B90f8",3,7174,FALSE,18558669,0
614,"2023-11-12 21:54:14.707","2023-11-12 21:58:09.341","Increase fork threshold to 10.5 days. ","A proposal candidate by wag that I think we should sponsor. ","Description
Looking for a sponsor-

Even if Subdaos/fractional owners manage to add governance logic bypassing risk of 51% attack associated w forking, 3.5 days is often not enough time for proposal cadences to complete.

10.5 days generously accommodates a 10-day turnaround with a little time to get a proposal together (helpful in instances when fork calls are able to bypass escrow phase)

Proposed Transactions
0x6f3e6272a167e8accb32072d08e0957f9c79223d._setForkPeriod(
 907200
)","0x2eE0485f71764bcD2062A84d9455688c581B90f8",3,7174,TRUE,18558643,0
613,"2023-10-29 09:21:25.434","2023-10-29 09:21:25.434"," Delegate Lil Nouns to the Lil Nouncil","Lil Nouncil allows Nouns to delegate Lil Nouns for decision-making. Consider requesting Lil Nouns delegation.","Lil Nouncil enables Nouns to delegate their Lil Nouns for representation and active participation in decision-making processes within a defined scope. Therefore, it would be a good idea to consider requesting the delegation of Lil Nouns from Nouns' treasury to the Lil Nouncil.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7165,FALSE,18454914,0
612,"2023-10-28 17:59:28.179","2023-10-28 17:59:28.179","Update Auction House with Auction Duration Setter","The modification adds a `setAuctionDuration` function to update the auction duration.","Add a setter function called `setAuctionDuration` to the `NounsAuctionHouseV1.sol` contract. This function enables the update of the auction duration through a governance proposal. An event, `AuctionDurationUpdated`, is emitted whenever the duration is changed via an approved proposal.

```solidity
    // Event emitted when the auction duration is updated
    event AuctionDurationUpdated(uint256 newDuration);

    /**
     * @notice Set a new auction duration.
     * @param _newDuration The new duration for the auction.
     * @dev Only callable by the owner.
     */
    function setAuctionDuration(uint256 _newDuration) external onlyOwner {
        duration = _newDuration;
        emit AuctionDurationUpdated(_newDuration);
    }
```","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7165,FALSE,18450338,0
611,"2023-10-28 13:15:51.411","2023-10-28 13:15:51.411","Auction Existing Nouns Instead Mint New Ones","The updated `_createAuction` function checks if the `NounsAuctionHouse` owns any `Noun` tokens. If yes, it uses one for the new auction; otherwise, it mints a new token. This optimizes resource use by prioritizing existing tokens.","The modified `_createAuction` function first checks if the `NounsAuctionHouse` contract already owns any `Noun` tokens. If it does, the function uses the first available `Noun` token for the new auction. If no tokens are available within the contract, it returns to minting a new `Noun` token. Once the `Noun` token is selected or minted, the function creates a new auction with that token, setting the start and end times based on the current block timestamp and the auction's duration. This approach allows the contract to utilize existing tokens before generating new ones, optimizing the use of resources.

In the modified setup, `Noun` tokens are sent to the `NounsAuctionHouse` contract through a governance proposal. Once the tokens are in the contract, the `_createAuction` function checks for their presence. If an existing token is found, it is used for the new auction, thereby optimizing resource utilization by avoiding unnecessary minting.

https://gist.github.com/nekofar/96a540edcf359f1a62556640768972d1

","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7165,FALSE,18448932,0
610,"2023-10-28 10:31:32.599","2023-10-28 10:31:32.599","Noun Allocation for Lil Dot","This draft proposal aims to allocate a Noun to Lil Dot to recognize significant contributions to the Nounish ecosystem and the Lil Nouns DAO. ","## Objective
The following proposal draft is open for discussion within the Lil Nouns DAO community. The specifics will be decided upon collectively as a DAO. Once a consensus is reached, the finalized proposal will be added to the Lil Nouns DAO as a new experiment on-chain. Afterward, it will be submitted to the Nouns DAO for consideration.

## Rationale

Lil Dot has been an instrumental figure in the development and growth of Lil Nouns DAO. As the most active founder, Lil Dot has consistently attended meetings, participated in discussions, and contributed to technical aspects of the DAO. The allocation of a Noun to Lil Dot would serve as a fitting acknowledgment of these efforts and further align incentives for ongoing contributions to the ecosystem.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7165,FALSE,18448117,0
609,"2023-10-28 08:02:17.814","2023-10-28 08:02:17.814","Reduce Voting Delay and Increase Voting Period","Revise the existing settings to improve their accuracy and simplify the process of estimating durations.","Our voting system's delay and duration settings are determined by the number of blocks, which has remained constant for the past 18 months. With the introduction of PoS, these blocks are now fixed at 12 seconds, allowing us to estimate these values more accurately.

I suggest decreasing the current voting delay from 43.8 hours to 24 hours and increasing the voting period from 65.7 hours to 72 hours.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7165,FALSE,18447378,0
608,"2023-10-27 19:34:21.114","2023-10-27 19:34:21.114","Implement Clear Difference Between Nouns Props","It is essential to differentiate between the Nouns DAO props and other ideas here.
","The poor user experience makes distinguishing between Nouns DAO Props, and other ideas difficult. Therefore, it should be a top priority to address UX issues like this one as long as we are stuck with Prop Lot.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7165,FALSE,18443659,0
607,"2023-10-27 19:34:19.356","2023-10-27 19:34:19.356","Implement Clear Difference Between Nouns Props","It is essential to differentiate between the Nouns DAO props and other ideas here.
","The poor user experience makes distinguishing between Nouns DAO Props, and other ideas difficult. Therefore, it should be a top priority to address UX issues like this one as long as we are stuck with Prop Lot.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7165,FALSE,18443659,0
606,"2023-10-27 19:34:17.915","2023-10-27 19:34:17.915","Implement Clear Difference Between Nouns Props","It is essential to differentiate between the Nouns DAO props and other ideas here.
","The poor user experience makes distinguishing between Nouns DAO Props, and other ideas difficult. Therefore, it should be a top priority to address UX issues like this one as long as we are stuck with Prop Lot.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7165,FALSE,18443659,0
605,"2023-10-27 18:38:39.256","2023-10-27 18:38:39.256","Define a General Rules and Thresholds for Prop Lot","It might work if we define general rules and thresholds and clarify enforceable regulations.","Currently, Prop Lot is a random and disorderly tool that anyone can interpret the result for themselves in any way they want. Who knows, if we consider and clarify a series of applicable rules and thresholds, maybe it will work.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7165,FALSE,18443381,0
604,"2023-10-27 16:25:22.243","2023-10-27 16:25:22.243","Implement Dynamic Quorum for Enhanced Governance","Adjusting dynamic quorum parameters would increase DAO health and should increase the percentage of successful proposals that are ""hell yes"" initiatives.","Due to length limitations, the proposal is available on [Arweave](https://55nrq4ns2ci2rk2pr5whehf4mdhfmjhce3psej5f3ya3ad443ysa.arweave.net/71sYcbLQkairT49schy8YM5WJOIm3yInpd4BsA-c3iQ).

The **Arweave** word above is a link, but it's unclear due to UI/UX issues. ","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7164,FALSE,18442720,0
603,"2023-10-26 07:06:53.579","2023-10-26 07:06:53.579","Burn all Nouns currently held in the treasury","We should explore the idea of burning all Nouns currently held in the treasury.","We should explore burning all Nouns currently held in the treasury.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7164,FALSE,18432797,0
602,"2023-10-25 14:58:54.111","2023-10-25 14:58:54.111","Replace current English auction model by VRGDA","We paid for VRGDA implementation, but it was never tested.","As a small DAO, we must be open to new approaches, implement them, and be agile. Although we paid for implementation, it was never reviewed or tested.","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7164,FALSE,18427996,0
601,"2023-10-25 12:11:56.184","2023-10-25 12:11:56.184","Shutdown Prop Lot and Replace it with Candidates","Due to the lack of community participation, Prop Lot should be replaced by Candidates.","Have you noticed the need for more community participation in Prop Lot? It's been concerning me lately. That's why it's time to consider taking it down and implementing Candidates instead. With Candidates, we can create a more engaging platform that encourages active participation from everyone in the community. What do you think?

![](https://i.imgur.com/TOC3KcX.png)","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7164,FALSE,18427165,0
600,"2023-10-20 17:50:13.237","2023-10-20 17:50:13.237","Return Lil Noun #1 Back To Us","Hey, NounsDAO, can we please have Lil Noun #1 back? It's Halloween, and we would love to have it for our spooky celebrations. Thank you!","Could you please return Lil Noun #1 to us for our upcoming Halloween celebrations? We would greatly appreciate it. 👻","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7164,FALSE,18393130,0
599,"2023-10-20 16:16:35.458","2023-10-20 16:16:35.458","Run Auto-Bidder Bot with 5 ETH for Noun Bids","The bot already has the balance, so let's update the settings accordingly.","The proposal is to implement an Auto-Bidder Bot that bids on Nouns based on an available balance of 5 ETH.

","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7164,FALSE,18392666,0
598,"2023-10-20 15:26:23.643","2023-10-20 15:26:23.643","Modifying Quorum Requirements to Enhance DAO Gover","This proposal aims to amend the quorum prerequisites for decision-making within our DAO. Specifically, this proposal recommends lowering the default token requirement from 716 to approximately 358. This adjustment aims to democratize the go","## Introduction: Dynamic Quorum Mechanism

The Dynamic Quorum is an adaptive governance framework that adjusts decision-making criteria based on each proposal's specific attributes and implications. It acts as a variable scale that modifies the level of support required for different proposals, depending on their content and the likelihood of generating community discussion.

https://hackmd.io/arweave/view/QYPQ7SniwlGWAs9zZTLwxWp1CUnZv-tQnS7o8aqH_Sc","0x9e0e9D25a5ED9bc773f91691f0b45599255257B1",3,7164,FALSE,18392415,0
